model_id,training_seed,threshold,map_50_95,map_50,precision,recall,micro_f1,macro_f1,far_per_100_negative_frames
yolo11n,13,0.33,0.5546837240801866,0.9155973128378432,0.9309701492537313,0.8127035830618893,0.8678260869565217,0.8312222288358675,0.6540977298961139
yolo11n,37,0.32,0.5573829153325038,0.9230172898512691,0.9247706422018349,0.8208469055374593,0.8697152717860225,0.8490849849016405,0.6540977298961139
yolo11n,73,0.59,0.5493809521263613,0.915119619963404,0.9471624266144814,0.7882736156351792,0.8604444444444443,0.8223810609773139,0.5771450557906888
yolo26n,13,0.71,0.5790202038467065,0.9023436453408066,0.9313725490196079,0.7736156351791531,0.8451957295373667,0.8108489006279487,0.7310504040015391
yolo26n,37,0.72,0.5668026714617709,0.893457618990096,0.912621359223301,0.7654723127035831,0.8325952170062003,0.7877455970005488,0.6540977298961139
yolo26n,73,0.65,0.5635719323802543,0.8826465752851033,0.9326923076923077,0.7899022801302932,0.8553791887125222,0.7829939913506067,0.6156213928434013
