metric,training_seed,yolo11n,yolo26n,difference_yolo11n_minus_yolo26n,direction_across_three_seeds
map_50_95,13,0.5546837240801866,0.5790202038467065,-0.02433647976651987,yolo26n_higher
map_50_95,37,0.5573829153325038,0.5668026714617709,-0.009419756129267043,yolo26n_higher
map_50_95,73,0.5493809521263613,0.5635719323802543,-0.014190980253892982,yolo26n_higher
map_50,13,0.9155973128378432,0.9023436453408066,0.013253667497036603,yolo11n_higher
map_50,37,0.9230172898512691,0.893457618990096,0.02955967086117306,yolo11n_higher
map_50,73,0.915119619963404,0.8826465752851033,0.0324730446783007,yolo11n_higher
micro_f1,13,0.8678260869565217,0.8451957295373667,0.02263035741915509,yolo11n_higher
micro_f1,37,0.8697152717860225,0.8325952170062003,0.037120054779822165,yolo11n_higher
micro_f1,73,0.8604444444444443,0.8553791887125222,0.00506525573192218,yolo11n_higher
macro_f1,13,0.8312222288358675,0.8108489006279487,0.020373328207918817,yolo11n_higher
macro_f1,37,0.8490849849016405,0.7877455970005488,0.061339387901091724,yolo11n_higher
macro_f1,73,0.8223810609773139,0.7829939913506067,0.03938706962670724,yolo11n_higher
far_per_100_negative_frames,13,0.6540977298961139,0.7310504040015391,-0.07695267410542517,mixed
far_per_100_negative_frames,37,0.6540977298961139,0.6540977298961139,0.0,mixed
far_per_100_negative_frames,73,0.5771450557906888,0.6156213928434013,-0.038476337052712584,mixed
tensor_to_detections_p50_ms,13,14.145900029689074,19.317600002977997,-5.1716999732889235,yolo26n_higher
tensor_to_detections_p50_ms,37,14.521599980071187,19.190900027751923,-4.669300047680736,yolo26n_higher
tensor_to_detections_p50_ms,73,14.238699979614466,19.135400012601167,-4.8967000329867005,yolo26n_higher
sustained_fps,13,68.2496285437829,51.48261206128048,16.767016482502427,yolo11n_higher
sustained_fps,37,66.5757128728701,51.77750999149721,14.798202881372887,yolo11n_higher
sustained_fps,73,69.09445187766701,51.927063425144354,17.16738845252266,yolo11n_higher
ap_50_95_yawning,13,0.6144879513382565,0.5994922133556534,0.014995737982603119,yolo11n_higher
ap_50_95_yawning,37,0.59465136345894,0.5527197200791621,0.04193164337977784,yolo11n_higher
ap_50_95_yawning,73,0.5903935218291655,0.5315479178818047,0.058845603947360825,yolo11n_higher
ap_50_95_hand_over_mouth,13,0.525288951523124,0.5660485684270746,-0.04075961690395058,yolo26n_higher
ap_50_95_hand_over_mouth,37,0.5110001856014554,0.5398091664330741,-0.028808980831618647,yolo26n_higher
ap_50_95_hand_over_mouth,73,0.467707080049008,0.5843784783325268,-0.11667139828351875,yolo26n_higher
ap_50_95_drinking,13,0.5766056058218927,0.6112664589206066,-0.03466085309871392,mixed
ap_50_95_drinking,37,0.6203273044283352,0.6334260156531479,-0.013098711224812765,mixed
ap_50_95_drinking,73,0.6246335096883863,0.6075023910986225,0.017131118589763794,mixed
ap_50_95_phone_use,13,0.5023523876374731,0.5392735746834914,-0.03692118704601821,yolo26n_higher
ap_50_95_phone_use,37,0.5035528078412843,0.5412557836816994,-0.03770297584041504,yolo26n_higher
ap_50_95_phone_use,73,0.5147896969388855,0.5308589422080635,-0.016069245269177967,yolo26n_higher
